,firstName,lastName,commonName,height,skillMoves,weakFootAbility,preferredFoot,leagueName,weight,alternatePositions_0_label,playerAbilities_0_label,playerAbilities_0_description,playerAbilities_0_type_label,playerAbilities_1_label,playerAbilities_1_description,playerAbilities_1_type_label,playerAbilities_2_label,playerAbilities_2_description,playerAbilities_2_type_label,playerAbilities_3_label,playerAbilities_3_description,playerAbilities_3_type_label,playerAbilities_4_label,playerAbilities_4_description,playerAbilities_4_type_label,playerAbilities_5_label,playerAbilities_5_description,playerAbilities_5_type_label,playerAbilities_6_label,playerAbilities_6_description,playerAbilities_6_type_label,nationality,team_name,position_name,position_positionType_name,acceleration,agility,jumping,stamina,strength,aggression,balance,ballControl,composure,crossing,defensiveAwareness,dribbling,finishing,freeKickAccuracy,gkDiving,gkHandling,gkKicking,gkPositioning,gkReflexes,headingAccuracy,longPassing,penalties,positioning,reactions,shortPassing,shotPower,standingTackle,vision,volleys,alternatePositions_1_label,alternatePositions_2_label
0,Mohamed,Salah,,175,4,3,2,Premier League,72,Right Wing,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Whipped Pass,"Accurate, faster crosses with more curve",Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Finesse Shot+,Faster finesse shots with max curve and accuracy,Play Style Plus,Egypt,Liverpool,Right Midfielder,Midfielder,88,86,79,88,75,63,91,90,93,86,38,90,94,69,14,14,9,11,14,59,81,88,93,94,88,83,43,89,83,,
1,Kylian,Mbappé,,182,5,4,1,LALIGA EA SPORTS,75,Left Wing,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Acrobatic,"Perform volleys with increased accuracy, acrobatic volley animations",Play Style,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Quick Step+,Significantly faster acceleration during Explosive Sprint,Play Style Plus,France,Real Madrid,Striker,Attack,97,93,90,83,77,61,82,93,88,78,26,92,92,69,13,5,7,11,6,78,74,82,91,91,87,91,34,83,87,Left Midfielder,
2,Ousmane,Dembélé,,178,5,5,2,Ligue 1 McDonald's,67,Right Wing,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Pinged Pass,Faster ground passes without affecting receiver's trapping,Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Trickster,Performs unique flick Skill Moves,Play Style,Quick Step,Faster acceleration during Explosive Sprint,Play Style,Rapid+,"Even higher sprint speed while dribbling, reduced error on knock-ons",Play Style Plus,,,,France,Paris SG,Striker,Attack,93,94,84,76,69,58,81,94,88,80,49,94,90,68,6,6,14,10,13,74,78,80,95,91,89,91,49,84,79,Center Attacking Midfielder,
3,Rodrigo,Hernández Cascante,Rodri,190,3,4,1,Premier League,82,Center Midfielder,Power Shot,Faster power shots with increased speed,Play Style,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,Press Proven,"Close control at jog speed, shields ball more effectively",Play Style,Bruiser,Stronger physical tackles,Play Style,Tiki Taka+,Even greater accuracy in first-time Ground Passes,Play Style Plus,,,,Spain,Manchester City,Center Defensive Midfielder,Midfielder,65,66,83,91,83,85,67,90,93,76,88,84,74,64,10,10,7,14,8,81,91,62,76,93,93,92,87,84,71,,
4,Virgil,van Dijk,,193,2,3,1,Premier League,92,,Precision Header,Performs headers with increased accuracy and power.,Play Style,Pinged Pass,Faster ground passes without affecting receiver's trapping,Play Style,Jockey,"Faster Sprint Jockey, better transition speed",Play Style,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",Play Style,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,Bruiser,Stronger physical tackles,Play Style,Intercept+,Greater reach and possession retention in interceptions,Play Style Plus,Holland,Liverpool,Center Back,Defense,66,54,89,75,93,85,50,77,90,53,91,70,52,70,13,10,13,11,11,88,83,62,47,90,80,81,91,70,45,,
5,Jude,Bellingham,,186,4,4,1,LALIGA EA SPORTS,75,Center Midfielder,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Slide Tackle,Stops ball at feet during slide tackles,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Relentless+,"Max half time fatigue recovery, longer teammate contain and press",Play Style Plus,England,Real Madrid,Center Attacking Midfielder,Midfielder,81,83,85,94,80,85,83,91,90,66,77,91,88,68,14,11,10,5,8,75,89,74,91,91,90,86,79,90,77,,
6,Erling,Haaland,,195,3,3,2,Premier League,94,,Chip Shot,"Faster, more accurate chip shots",Play Style,Power Shot,Faster power shots with increased speed,Play Style,Precision Header,Performs headers with increased accuracy and power.,Play Style,Acrobatic,"Perform volleys with increased accuracy, acrobatic volley animations",Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Enforcer,Performs dribble Shoulder Challenges and Shielding with increased effectiveness.,Play Style,Low Driven Shot+,"Enhances a player's ability to perform low driven shots with significantly enhanced accuracy, even faster ball travel, and quicker shot execution.",Play Style Plus,Norway,Manchester City,Striker,Attack,79,71,92,76,93,88,69,82,86,58,38,79,94,62,7,14,13,11,7,83,66,90,95,93,77,94,47,74,90,,
7,Raphael,Dias Belloli,Raphinha,176,4,4,2,LALIGA EA SPORTS,68,Left Wing,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Power Shot,Faster power shots with increased speed,Play Style,Trickster,Performs unique flick Skill Moves,Play Style,Quick Step,Faster acceleration during Explosive Sprint,Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,Rapid+,"Even higher sprint speed while dribbling, reduced error on knock-ons",Play Style Plus,,,,Brazil,FC Barcelona,Left Midfielder,Midfielder,90,88,82,91,65,77,79,88,85,86,49,88,87,79,8,7,13,8,14,74,80,78,89,87,85,83,54,87,72,,
8,Achraf,Hakimi,,181,4,4,1,Ligue 1 McDonald's,73,Right Midfielder,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Whipped Pass,"Accurate, faster crosses with more curve",Play Style,Jockey,"Faster Sprint Jockey, better transition speed",Play Style,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",Play Style,Press Proven,"Close control at jog speed, shields ball more effectively",Play Style,Quick Step,Faster acceleration during Explosive Sprint,Play Style,Relentless+,"Max half time fatigue recovery, longer teammate contain and press",Play Style Plus,Morocco,Paris SG,Right Back,Defense,89,81,84,95,72,77,78,85,84,85,82,82,80,80,10,8,14,6,8,71,73,68,84,90,86,82,85,78,74,,
9,Lamine Yamal,Nasraoui Ebana,Lamine Yamal,180,5,3,2,LALIGA EA SPORTS,72,Right Wing,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Quick Step,Faster acceleration during Explosive Sprint,Play Style,Technical+,"Higher speed Controlled Sprint, precise wide turns while dribbling",Play Style Plus,Spain,FC Barcelona,Right Midfielder,Midfielder,88,93,58,73,45,45,81,90,84,89,23,92,83,65,9,13,7,10,7,33,84,69,88,88,88,83,20,88,65,,
